kota_kabupaten;kecamatan;jumlah_penduduk;kepadatan_penduduk;jumlah_anak;jumlah_usia_produktif;jumlah_penduduk_pria;jumlah_penduduk_perempuan;jenis_fasilitas_olahraga;jumlah
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;bola voli;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;bulu tangkis;19
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;basket;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;0;804.16.00;78.663;atletik;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;tenis meja;8
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;golf;0
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;senam;2
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;gedung olahraga;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;stadion;0
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;gelanggang kecamatan;1
Jakarta Selatan;Mampang Prapatan;159.772;19.871;44.349;114.514;804.16.00;78.663;gelanggang kotamadya;0